"default_profile","default_profile_image","tweets_like_by_user","followers_count","geo_enabled","verified","account_age_days","account_type","has_description","has_lang","has_background_image_url"
"FALSE","FALSE",14811,311,"TRUE","FALSE",2874,"bot","TRUE","TRUE","TRUE"
"TRUE","FALSE",2289,32,"TRUE","FALSE",2878,"bot","FALSE","FALSE","TRUE"
"TRUE","FALSE",179,5,"FALSE","FALSE",3105,"bot","TRUE","TRUE","TRUE"
"FALSE","FALSE",1139,2,"TRUE","FALSE",2906,"bot","FALSE","FALSE","TRUE"
"TRUE","FALSE",2359,23,"FALSE","FALSE",3818,"bot","TRUE","TRUE","TRUE"
"TRUE","FALSE",19868,83404,"FALSE","FALSE",3370,"bot","TRUE","TRUE","TRUE"
"FALSE","FALSE",1950,48,"TRUE","FALSE",3312,"bot","FALSE","FALSE","TRUE"
"FALSE","FALSE",2771,198654,"FALSE","FALSE",4855,"human","TRUE","TRUE","TRUE"
"TRUE","FALSE",8433,797,"FALSE","FALSE",3157,"bot","TRUE","TRUE","TRUE"
"FALSE","FALSE",405,130,"FALSE","FALSE",797,"human","TRUE","TRUE","TRUE"
"TRUE","FALSE",1250,25,"FALSE","FALSE",3596,"bot","TRUE","TRUE","TRUE"
"FALSE","FALSE",6832,2313068,"FALSE","TRUE",4121,"human","TRUE","TRUE","TRUE"
"FALSE","FALSE",17654,24444,"TRUE","TRUE",3787,"human","TRUE","TRUE","TRUE"
"FALSE","FALSE",1813,720,"FALSE","FALSE",1099,"human","TRUE","TRUE","TRUE"
"TRUE","FALSE",1786,49,"TRUE","FALSE",2367,"bot","TRUE","TRUE","TRUE"
"FALSE","FALSE",340,28,"FALSE","FALSE",3675,"bot","TRUE","FALSE","TRUE"
"FALSE","FALSE",140,1492643,"TRUE","TRUE",3977,"human","TRUE","TRUE","TRUE"
"FALSE","FALSE",3032,24,"FALSE","FALSE",1452,"bot","TRUE","TRUE","TRUE"
"FALSE","FALSE",1047,837019,"FALSE","TRUE",3975,"human","TRUE","TRUE","TRUE"
"TRUE","FALSE",1332,10,"FALSE","FALSE",1463,"bot","TRUE","TRUE","FALSE"
"FALSE","FALSE",80,23247,"FALSE","FALSE",2696,"human","TRUE","TRUE","TRUE"
"TRUE","FALSE",35315,1033,"TRUE","FALSE",2890,"human","TRUE","TRUE","TRUE"
"TRUE","FALSE",845,18,"FALSE","FALSE",4150,"human","FALSE","FALSE","TRUE"
"TRUE","FALSE",25,0,"FALSE","FALSE",1155,"bot","TRUE","TRUE","FALSE"
"TRUE","FALSE",1074,104,"TRUE","FALSE",2796,"human","TRUE","TRUE","TRUE"
"FALSE","FALSE",12236,350,"TRUE","FALSE",2823,"human","FALSE","FALSE","TRUE"
